Symbol,Company Name,Date,Open,Close,High,Low,Change %,Circuit Limit,Market Cap,Volume
TATACHEM,Tata Chemicals Limited,2026-09-15,N/A,₹734.90,₹734.90,₹734.90,19.99%,20%,"₹1,553,929 Cr",18
EMUDHRA,eMudhra Limited,2026-09-15,N/A,₹592.85,₹592.85,₹531.00,20.00%,20%,"₹403,708 Cr",16
KESORAMIND,Kesoram Industries Limited,2026-09-15,N/A,₹12.61,₹12.61,₹12.01,5.00%,5%,"₹32,489 Cr",15
3IINFOLTD,3i Infotech Limited,2026-09-15,N/A,₹23.99,₹23.99,₹22.50,4.99%,5%,"₹41,298 Cr",7
SOFTTECH,SoftTech Engineers Limited,2026-09-15,N/A,₹474.90,₹474.95,₹452.35,4.99%,5%,"₹54,567 Cr",0
ONMOBILE,OnMobile Global Limited,2026-09-15,N/A,₹49.35,₹49.35,₹46.74,5.00%,5%,"₹43,550 Cr",1
QUINT,Quint Digital Limited,2026-09-15,N/A,₹48.24,₹48.24,₹41.00,20.00%,20%,N/A,0
NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd.,2026-09-15,N/A,₹27.39,₹27.39,₹24.07,10.00%,10%,"₹2,867 Cr",0
GTECJAINX,G-Tec Jainx Education Limited,2026-09-15,N/A,₹29.31,₹29.31,₹24.80,9.98%,10%,"₹2,479 Cr",0
UNIVAFOODS,Univa Foods Limited,2026-09-15,N/A,₹9.48,₹9.48,₹9.48,4.98%,5%,"₹1,127 Cr",0
